Tipologia;Id;Brand;Modello;Allestimento;Segmentazione;Segmentazione descrizione;Prezzo;Anticipo 1;Durata 1;Km 1;Canone 1;Anticipo 2;Durata 2;Km 2;Canone 2;Anticipo 3;Durata 3;Km 3;Canone 3;Anticipo 4;Durata 4;Km 4;Canone 4;Anticipo 5;Durata 5;Km 5;Canone 5;Anticipo 6;Durata 6;Km 6;Canone 6;Anticipo 7;Durata 7;Km 7;Canone 7;Anticipo 8;Durata 8;Km 8;Canone 8;Optional;Alimentazione;Cilindrata Effettiva;Cilindrata;Pacchetto (Tipo Eletta, Sport);Model Year;Peso;Portata;Tipo Veicolo;Emissioni C02;Trazione;Consumo Combinato;Porte;Posti;Cambio;Potenza Massima KW;Potenza Massima CV;Cavalli Fiscali;Corpo Veicolo;Codice Ruote Anteriori;Codice Ruote Posteriori;Stock;Usato;Da Ordine;Pronta Consegna;Delivery;Data di Registrazione;Kilometraggio;Link al player;Immagine Copertina
Auto;-;ALFA ROMEO;JUNIOR;ALFA ROMEO JUNIOR 1.2 136CV Hybrid EDCT6 Ibrida Sport Utility Vehicle 5-Door (Euro 6E);CSP;-;23689;zero;48;40000;450;zero;48;120000;540;zero;60;50000;420;zero;60;150000;490;3550;48;40000;370;3550;48;120000;460;3550;60;50000;360;3550;60;150000;430;-;Unleaded - Electric;1199 Cm3;1199 L;1.2 136CV Hybrid EDCT6 Ibrida;2024;1305 Kg;485 Kg;Manufacturer Vehicle;0 G/Km;Front;4.9 Litri Per 100km;5-Door;5;AUT6;100 KW;136 CV;14;Sport Utility Vehicle;215/60 C17 98H;215/60 C17 98H;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_512_al.jpg
Auto;-;ALFA ROMEO;JUNIOR;ALFA ROMEO JUNIOR 1.2 136CV Hybrid EDCT6 Ibrida Sport Utility Vehicle 5-Door (Euro 6E);CSP;-;23689;zero;48;40000;440;zero;48;120000;540;zero;60;50000;410;zero;60;150000;490;3550;48;40000;370;3550;48;120000;460;3550;60;50000;360;3550;60;150000;430;-;Unleaded - Electric;1199 Cm3;1199 L;1.2 136CV Hybrid EDCT6 Ibrida;2024;1305 Kg;485 Kg;Manufacturer Vehicle;0 G/Km;Front;4.9 Litri Per 100km;5-Door;5;AUT6;100 KW;136 CV;14;Sport Utility Vehicle;215/60 C17 98H;215/60 C17 98H;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_512_al.jpg
Auto;-;ALFA ROMEO;STELVIO;ALFA ROMEO STELVIO 2.2 TD 160 CV Sprint AT8 RWD Sport Utility Vehicle 5-Door (Euro 6E);FSP;-;45574;zero;48;40000;750;zero;48;120000;860;zero;60;50000;700;zero;60;150000;800;6840;48;40000;600;6840;48;120000;710;6840;60;50000;590;6840;60;150000;690;-;Diesel;2143 Cm3;2143 L;2.2 TD 160 CV Sprint AT8 RWD;2024;1680 Kg;650 Kg;Manufacturer Vehicle;0 G/Km;Rear;5.8 Litri Per 100km;5-Door;5;AUT8;118 KW;160 CV;21;Sport Utility Vehicle;235/55 C19 101Y;235/55 C19 101Y;no;no;si;-;-;-;-;-;-
Auto;-;ALFA ROMEO;TONALE;ALFA ROMEO TONALE 1.6 Diesel 130cv TCT6 Sprint Sport Utility Vehicle 5-Door (Euro 6E);DSP;-;32459;zero;48;40000;570;zero;48;120000;670;zero;60;50000;540;zero;60;150000;630;4870;48;40000;470;4870;48;120000;570;4870;60;50000;460;4870;60;150000;550;-;Unleaded - Electric;1598 Cm3;1598 L;1.6 Diesel 130cv TCT6 Sprint;2025;1580 Kg;605 Kg;Manufacturer Vehicle;0 G/Km;Front;5.3 Litri Per 100km;5-Door;5;AUT6;96 KW;130 CV;17;Sport Utility Vehicle;235/50 C18 97V;235/50 C18 97V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_329_al.jpg
Auto;-;ALFA ROMEO;TONALE;ALFA ROMEO TONALE 1.6 Diesel 130cv TCT6 Sprint Sport Utility Vehicle 5-Door (Euro 6E);DSP;Compact - Suv/Cross Over - Premium;32459;zero;48;40000;580;zero;48;120000;670;zero;60;50000;550;zero;60;150000;630;4870;48;40000;480;4870;48;120000;570;4870;60;50000;460;4870;60;150000;550;-;Unleaded - Electric;1598 Cm3;1598 L;1.6 Diesel 130cv TCT6 Sprint;2025;1580 Kg;605 Kg;Manufacturer Vehicle;0 G/Km;Front;5.3 Litri Per 100km;5-Door;5;AUT6;96 KW;130 CV;17;Sport Utility Vehicle;235/50 C18 97V;235/50 C18 97V;no;no;si;-;-;-;-;-;https://www.nolecar.com/immaginiutente/automobili//700/700_M_329_al.jpg
Auto;40390561;ALFA ROMEO;TONALE;ALFA ROMEO TONALE 1.6 Diesel 130cv TCT6 Ti Sport utility vehicle 5-door;DSP;Compact - Suv/Cross Over - Premium;33074;zero;48;40000;660;zero;48;120000;740;zero;60;50000;610;zero;60;150000;690;4960;48;40000;560;4960;48;120000;640;4960;60;50000;530;4960;60;150000;600;Vernice Pastello Nero Alfa;Diesel;1598 Cm3;1598 L;1.6 Diesel 130cv TCT6 Ti;2022;1580 Kg;605 Kg;Manufacturer Vehicle;0 G/Km;Front;5.6 Litri Per 100km;5-Door;5;AUT6;96 KW;130 CV;17;Sport Utility Vehicle;235/50 C18 97V;235/50 C18 97V;no;si;no;-;-;07/12/2023;5046;https://auto.nextlane.com/public/player/89fdfb7f913cc36f623f99f57c61d3972ac98c571d2979694f2898ef95362aca70f9d97b9d6baabd0278962d8783d3c6b2f905d6615683a6eb5eef5a40cfaf08;https://s3.stampyt.io/prod/customer/media/e8960e99-4fc6-493d-af8b-3ff1c8198774/b4203e7f-f005-4376-88ae-c5e256517127.jpg
Auto;-;AUDI;A3;AUDI A3 30 TFSI S.Back Hatchback 5-Door (Euro 6E);DBP;-;24440;zero;48;40000;480;zero;48;120000;590;zero;60;50000;460;zero;60;150000;550;3670;48;40000;410;3670;48;120000;510;3670;60;50000;400;3670;60;150000;480;-;Unleaded - Electric;1498 Cm3;1498 L;30 TFSI S.Back;2025;1360 Kg;470 Kg;Manufacturer Vehicle;0 G/Km;Front;5.5 Litri Per 100km;5-Door;5;MAN6;85 KW;116 CV;16;Hatchback;205/55 C16 W;205/55 C16 W;no;no;si;-;-;-;-;-;-
Auto;-;AUDI;A3;AUDI A3 30 TFSI S.Back Hatchback 5-Door (Euro 6E);ABP;-;24440;zero;48;40000;480;zero;48;120000;590;zero;60;50000;450;zero;60;150000;540;3670;48;40000;400;3670;48;120000;510;3670;60;50000;390;3670;60;150000;480;-;Unleaded - Electric;1498 Cm3;1498 L;30 TFSI S.Back;2025;1360 Kg;470 Kg;Manufacturer Vehicle;0 G/Km;Front;5.5 Litri Per 100km;5-Door;5;MAN6;85 KW;116 CV;16;Hatchback;205/55 C16 W;205/55 C16 W;no;no;si;-;-;-;-;-;-
Auto;40223267;AUDI;A4 AVANT;AUDI A4 AVANT 2.0 35 TDI BUSINESS S TRONIC SW 5-door (Euro 6.2) mild hybrid;FWP;Middle - Station Wagon - Premium;36284;zero;48;40000;340;zero;48;120000;440;zero;60;50000;340;zero;60;150000;430;5440;48;40000;230;5440;48;120000;320;5440;60;50000;250;5440;60;150000;340;Access Kit, Antifurto, Audi Connect Navigation & Infotainment Plus, Audi Innovative Traveller, Cerchi In Lega Di Alluminio 7,5 J X 17 In Design Crystal A 10 Razze Con Pneumatici 225/50 R 17, Colori Carrozzeria Metallizzati, Dispositivo Di Assistenza Per Proiettori Abbaglianti, Pacchetto Assistenza Tour, Pacchetto Esterno Lucido, Pacchetto Evolution, Pacchetto Luci, Portellone Vano Bagagli Ad Apertura E Chiusura Elettrica (Solo Per Avant), Proiettori Full LED, Sistema Di Ausilio Al Parcheggio Plus, Sistema Di Navigazione MMI Plus Con MMI Touch, Sistema ISOFIX Al Sedile Passeggero Anteriore, Vetri Laterali Posteriori E Lunotto Oscurati, Volante Multifunzionale Plus In Pelle A 3 Razze;Diesel;1968 Cm3;1968 L;2.0 35 TDI BUSINESS S TRONIC;2020;1615 Kg;550 Kg;Manufacturer Vehicle;100 G/Km;Front;5.2 Litri Per 100km;5-Door;5;AUT7;120 KW;163 CV;20;SW;205/60 C16 V;205/60 C16 V;no;si;no;-;-;05/10/2020;78818;https://auto.nextlane.com/public/player/9a66d517737b4a9a982d6f814a56416513887aecbecabd92bc9f1a8f05de4596c38ff1b81bac587c6c93995be0bd3b89110f339851b09691874eb700a48ec61c;https://s3.stampyt.io/prod/customer/media/7e37ff69-c299-456c-b18c-09008ea1949d/9e04fbbc-b5bb-4b18-a1e7-4540bfe58a31.jpg
Auto;-;AUDI;A6;AUDI A6 35 TDI 2.0 S Tronic Sedan 4-Door (Euro 6D);ABP;-;48474;zero;48;40000;850;zero;48;120000;960;zero;60;50000;800;zero;60;150000;900;7270;48;40000;700;7270;48;120000;810;7270;60;50000;680;7270;60;150000;780;-;Diesel - Electric;1968 Cm3;1968 L;35 TDI 2.0 S Tronic;2025;1720 Kg;535 Kg;Manufacturer Vehicle;0 G/Km;Front;5.3 Litri Per 100km;4-Door;5;AUT7;120 KW;163 CV;20;Sedan;225/60 C17 99Y;225/60 C17 99Y;no;no;si;-;-;-;-;-;-
